,"(-1, -1)","(-1, 0)","(-1, 1)","(0, -1)","(0, 0)","(0, 1)","(1, -1)","(1, 0)","(1, 1)"
"(0, 0, -5, -5)",-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
"(0, 0, -5, -4)",-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
"(0, 0, -5, -3)",-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
"(0, 0, -5, -2)",-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
"(0, 0, -5, -1)",-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
"(0, 0, -5, 0)",-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
"(0, 0, -5, 1)",-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
"(0, 0, -5, 2)",-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
"(0, 0, -5, 3)",-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
"(0, 0, -5, 4)",-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
"(0, 0, -5, 5)",-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
"(0, 0, -4, -5)",-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
"(0, 0, -4, -4)",-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
"(0, 0, -4, -3)",-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
"(0, 0, -4, -2)",-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
"(0, 0, -4, -1)",-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
"(0, 0, -4, 0)",-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
"(0, 0, -4, 1)",-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
"(0, 0, -4, 2)",-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
"(0, 0, -4, 3)",-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
"(0, 0, -4, 4)",-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
"(0, 0, -4, 5)",-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
"(0, 0, -3, -5)",-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
"(0, 0, -3, -4)",-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
"(0, 0, -3, -3)",-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
"(0, 0, -3, -2)",-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
"(0, 0, -3, -1)",-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
"(0, 0, -3, 0)",-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
"(0, 0, -3, 1)",-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
"(0, 0, -3, 2)",-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
"(0, 0, -3, 3)",-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
"(0, 0, -3, 4)",-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
"(0, 0, -3, 5)",-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
"(0, 0, -2, -5)",-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
